,date,content,coordinates,place
32,2022-04-12 18:18:34+00:00,"@nove_luna Balik muna sa training. Talagang may kulang pa eh, sayang yong talent ng boys and girls. nahighlight don sa PPOP con ang kakulangan, sana nakita yon management nila para mas makaka tulong sa PPOP Rise to the world.","{'longitude': 123.9114563, 'latitude': 10.3107867}","{'fullName': 'Mandaue City, Central Visayas', 'name': 'Mandaue City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
33,2022-04-12 18:16:15+00:00,"Sa Panaginip Na Lang 🥺

Grabi na kayo @Official_ALAMAT !! Napasenti tuloy ako dahil sinabayan ng ulan ang kanta niyo 😭 (excuse my face nalang mags 🙏)
#SPNL #AlamatSPNL_Countdown #ALAMAT https://t.co/CfNb03BHIY","{'longitude': 120.9416422, 'latitude': 14.5438774}","{'fullName': 'Manila City, National Capital Region', 'name': 'Manila City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
34,2022-04-12 18:09:24+00:00,tulong tayo pls! https://t.co/OqD9fu7uMr,"{'longitude': 120.989705, 'latitude': 14.5893763}","{'fullName': 'Quezon City, National Capital Region', 'name': 'Quezon City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
35,2022-04-12 17:57:52+00:00,"guys, tulong tayo please. a small donation can go a long way in helping our kababayans in eastern visayas.

#LeyteNeedsHelp 
#IloiloNeedsHelp 
#CapizNeedsHelp 

https://t.co/cTvwCneZBr","{'longitude': 121.0167613, 'latitude': 14.5674476}","{'fullName': 'Mandaluyong City, National Capital Region', 'name': 'Mandaluyong City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
36,2022-04-12 17:52:54+00:00,"@jendaya007 Hey! Rooting for you! If you need any help, let us know please 😊 Proud of you!","{'longitude': 124.1573872, 'latitude': 7.1307029}","{'fullName': 'Cotabato City, Soccsksargen', 'name': 'Cotabato City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
37,2022-04-12 17:46:46+00:00,"Okay ngayon na nga haha, mag aayos nako beh pero shuta Ang lakas pa rin ng ulan😡","{'longitude': 123.8700724, 'latitude': 11.9005229}","{'fullName': 'Cataingan, Bicol Region', 'name': 'Cataingan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
38,2022-04-12 17:40:07+00:00,"sharing this guys, let’s help with whatever we can. our kababayan in eastern/central visayas needs help. https://t.co/t6R5CkKRt2","{'longitude': 121.0167613, 'latitude': 14.5674476}","{'fullName': 'Mandaluyong City, National Capital Region', 'name': 'Mandaluyong City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
39,2022-04-12 17:29:23+00:00,Saan in particular yung tumataas ang baha? #LeyteNeedsHelp https://t.co/zTsU4CNioi,"{'longitude': 120.9219209, 'latitude': 14.2623238}","{'fullName': 'Dasmarinas, Calabarzon', 'name': 'Dasmarinas', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
40,2022-04-12 17:16:18+00:00,Capiz needs help https://t.co/aPiB7XRG3u,"{'longitude': 122.8196684, 'latitude': 10.4321628}","{'fullName': 'Valladolid, Western Visayas', 'name': 'Valladolid', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
41,2022-04-12 17:15:35+00:00,sumabay pa ang ulan,"{'longitude': 120.5678964, 'latitude': 14.0404224}","{'fullName': 'Nasugbu, Calabarzon', 'name': 'Nasugbu', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
